ticker,company_name,strategy,signal_count,oos_signal_count,oos_signal_count_detected,classification,is_selected_strike_method,is_method_met_safety_target,neighbor_stable,benchmark_horizon,is_touch_pct,is_terminal_itm_pct,oos_touch_pct,oos_breach_pct,oos_terminal_itm_pct,oos_median_forward_return,oos_median_mae,oos_worst_mae,oos_avg_strike_distance_pct,avg_atr_dollars,avg_atr_pct,split_date
A,,Strategy1,71,20,21,Effective,OTM_10pct,True,False,25,0.24,0.12,0.25,0.2,0.05,0.013535030135257253,-0.056513902868712496,-0.17810484310448982,0.09999999999999998,1.3639619230504492,0.023361671659181755,2018-08-14
A,,Strategy2,55,13,13,Insufficient Data,ATR_3,True,True,25,0.2857142857142857,0.14285714285714285,0.3076923076923077,0.23076923076923078,0.15384615384615385,0.05298801729167235,-0.04337837815097301,-0.14931723212024128,0.07416569948932558,1.4052964743081624,0.029932146984260978,2018-08-14
AAPL,,Strategy1,110,43,43,Effective,OTM_10pct,True,False,25,0.31343283582089554,0.1044776119402985,0.06976744186046512,0.046511627906976744,0.023255813953488372,0.031800025137010746,-0.033579584989614,-0.15391340429290212,0.09999999999999999,0.8456412082030016,0.028612493336211863,2012-11-29
AAPL,,Strategy2,98,21,21,Effective,OTM_10pct,False,False,25,0.4155844155844156,0.15584415584415584,0.14285714285714285,0.09523809523809523,0.0,0.08038257696983875,-0.01717860518928005,-0.14177235723508685,0.09999999999999996,0.4296501753607401,0.03273895013031339,2012-11-29
ABBV,,Strategy1,31,9,9,Insufficient Data,OTM_7pct,True,False,25,0.22727272727272727,0.13636363636363635,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.008819026310003197,-0.02937851383187673,-0.1462064246307756,0.07000000000000003,2.178571542836554,0.018985419713692882,2022-07-21
ABBV,,Strategy2,28,11,11,Insufficient Data,OTM_10pct,True,False,25,0.058823529411764705,0.058823529411764705,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.01794874915962552,-0.044943004507863815,-0.1889389683194087,0.09999999999999999,2.4285717983635102,0.019753450872575386,2022-07-21
ABNB,,Strategy1,14,2,3,Insufficient Data,OTM_7pct,False,False,25,0.2727272727272727,0.2727272727272727,0.5,0.5,0.5,-0.01656040247307272,-0.10283991064992426,-0.1449185840728805,0.07000000000000003,4.642555898549604,0.03202453118492969,2024-12-09
ABNB,,Strategy2,17,6,7,Insufficient Data,OTM_10pct,False,False,25,0.6,0.4,0.0,0.0,0.0,0.013841389657575753,-0.055696925685450815,-0.07425389349583955,0.09999999999999996,4.334508206664013,0.03263174466802655,2024-12-09
ABT,,Strategy1,108,35,35,Effective,OTM_10pct,True,False,25,0.1780821917808219,0.0547945205479452,0.08571428571428572,0.08571428571428572,0.02857142857142857,0.018470419472819577,-0.02709677911573838,-0.17026285569077937,0.1,0.6173196470059414,0.01888247860265018,2012-09-07
ABT,,Strategy2,114,27,27,Effective,ATR_3,True,True,25,0.3103448275862069,0.08045977011494253,0.18518518518518517,0.18518518518518517,0.1111111111111111,0.0004270049601651227,-0.02733296057967105,-0.19893188473298518,0.05045070590922297,0.5373308709764242,0.020865615512654843,2012-09-07
